ETTh1_base.py_ctx512_pred96: MAE=0.3779, MSE=0.367
ETTh1_base.py_ctx512_pred192: MAE=0.4045, MSE=0.4123
ETTh1_base.py_ctx512_pred336: MAE=0.4192, MSE=0.438
ETTh1_base.py_ctx512_pred720: MAE=0.4412, MSE=0.4538
ETTh1_base.py_ctx720_pred96: MAE=0.3753, MSE=0.3576
ETTh1_base.py_ctx720_pred192: MAE=0.4012, MSE=0.402
ETTh1_base.py_ctx720_pred336: MAE=0.417, MSE=0.4341
ETTh1_base.py_ctx720_pred720: MAE=0.4399, MSE=0.4491
ETTh1_base.py_ctx1024_pred96: MAE=0.3763, MSE=0.3574
ETTh1_base.py_ctx1024_pred192: MAE=0.4017, MSE=0.3971
ETTh1_base.py_ctx1024_pred336: MAE=0.4159, MSE=0.4189
ETTh1_base.py_ctx1024_pred720: MAE=0.4515, MSE=0.4586
ETTh1_base.py_ctx2048_pred96: MAE=0.4633, MSE=0.4557
ETTh1_base.py_ctx2048_pred192: MAE=0.5, MSE=0.5098
ETTh1_base.py_ctx2048_pred336: MAE=0.5195, MSE=0.5435
ETTh1_base.py_ctx2048_pred720: MAE=0.5433, MSE=0.5864
ETTh1_small.py_ctx512_pred96: MAE=0.3799, MSE=0.3722
ETTh1_small.py_ctx512_pred192: MAE=0.4068, MSE=0.4189
ETTh1_small.py_ctx512_pred336: MAE=0.4209, MSE=0.4438
ETTh1_small.py_ctx512_pred720: MAE=0.4394, MSE=0.4491
ETTh1_small.py_ctx720_pred96: MAE=0.3766, MSE=0.3591
ETTh1_small.py_ctx720_pred192: MAE=0.4026, MSE=0.4036
ETTh1_small.py_ctx720_pred336: MAE=0.416, MSE=0.4313
ETTh1_small.py_ctx720_pred720: MAE=0.4794, MSE=0.551
ETTh1_small.py_ctx1024_pred96: MAE=0.3801, MSE=0.3607
ETTh1_small.py_ctx1024_pred192: MAE=0.409, MSE=0.4082
ETTh1_small.py_ctx1024_pred336: MAE=0.4688, MSE=0.5322
ETTh1_small.py_ctx1024_pred720: MAE=0.6017, MSE=0.8134
ETTh1_small.py_ctx2048_pred96: MAE=0.7402, MSE=1.0919
