ETTh1_base.py_ctx512_pred96: MAE=0.3853, MSE=0.3702
ETTh1_base.py_ctx512_pred192: MAE=0.4067, MSE=0.4076
ETTh1_base.py_ctx512_pred336: MAE=0.4193, MSE=0.4292
ETTh1_base.py_ctx512_pred720: MAE=0.4391, MSE=0.4436
ETTh1_base.py_ctx720_pred96: MAE=0.3825, MSE=0.3603
ETTh1_base.py_ctx720_pred192: MAE=0.4034, MSE=0.3981
ETTh1_base.py_ctx720_pred336: MAE=0.415, MSE=0.4219
ETTh1_base.py_ctx720_pred720: MAE=0.4352, MSE=0.4377
ETTh1_base.py_ctx1024_pred96: MAE=0.3845, MSE=0.3624
ETTh1_base.py_ctx1024_pred192: MAE=0.406, MSE=0.4002
ETTh1_base.py_ctx1024_pred336: MAE=0.4172, MSE=0.4219
ETTh1_base.py_ctx1024_pred720: MAE=0.4354, MSE=0.4339
ETTh1_base.py_ctx2048_pred96: MAE=0.3875, MSE=0.3617
ETTh1_base.py_ctx2048_pred192: MAE=0.4092, MSE=0.3971
ETTh1_base.py_ctx2048_pred336: MAE=0.4201, MSE=0.4166
ETTh1_base.py_ctx2048_pred720: MAE=0.4396, MSE=0.4305
ETTh1_large.py_ctx512_pred96: MAE=0.3836, MSE=0.3664
ETTh1_large.py_ctx512_pred192: MAE=0.4053, MSE=0.4029
ETTh1_large.py_ctx512_pred336: MAE=0.4186, MSE=0.4252
ETTh1_large.py_ctx512_pred720: MAE=0.4354, MSE=0.4365
ETTh1_large.py_ctx720_pred96: MAE=0.3805, MSE=0.3566
ETTh1_large.py_ctx720_pred192: MAE=0.4025, MSE=0.3942
ETTh1_large.py_ctx720_pred336: MAE=0.4151, MSE=0.4187
ETTh1_large.py_ctx720_pred720: MAE=0.4331, MSE=0.4316
ETTh1_large.py_ctx1024_pred96: MAE=0.383, MSE=0.3594
ETTh1_large.py_ctx1024_pred192: MAE=0.4045, MSE=0.3955
ETTh1_large.py_ctx1024_pred336: MAE=0.416, MSE=0.4154
ETTh1_large.py_ctx1024_pred720: MAE=0.4336, MSE=0.4301
ETTh1_large.py_ctx2048_pred96: MAE=0.3844, MSE=0.3589
ETTh1_large.py_ctx2048_pred192: MAE=0.4064, MSE=0.3946
ETTh1_large.py_ctx2048_pred336: MAE=0.4163, MSE=0.4119
ETTh1_large.py_ctx2048_pred720: MAE=0.4306, MSE=0.4203
ETTh2_base.py_ctx512_pred96: MAE=0.332, MSE=0.2968
ETTh2_base.py_ctx512_pred192: MAE=0.3779, MSE=0.3687
ETTh2_base.py_ctx512_pred336: MAE=0.401, MSE=0.3847
ETTh2_base.py_ctx512_pred720: MAE=0.4281, MSE=0.4104
ETTh2_base.py_ctx720_pred96: MAE=0.329, MSE=0.289
ETTh2_base.py_ctx720_pred192: MAE=0.3744, MSE=0.3556
ETTh2_base.py_ctx720_pred336: MAE=0.3962, MSE=0.3755
ETTh2_base.py_ctx720_pred720: MAE=0.4199, MSE=0.3944
ETTh2_base.py_ctx1024_pred96: MAE=0.3242, MSE=0.284
ETTh2_base.py_ctx1024_pred192: MAE=0.3698, MSE=0.3482
ETTh2_base.py_ctx1024_pred336: MAE=0.3936, MSE=0.3699
ETTh2_base.py_ctx1024_pred720: MAE=0.4153, MSE=0.3899
ETTh2_base.py_ctx2048_pred96: MAE=0.3195, MSE=0.2791
ETTh2_base.py_ctx2048_pred192: MAE=0.3612, MSE=0.3389
ETTh2_base.py_ctx2048_pred336: MAE=0.3865, MSE=0.3679
ETTh2_base.py_ctx2048_pred720: MAE=0.4104, MSE=0.387
ETTh2_large.py_ctx512_pred96: MAE=0.329, MSE=0.2917
ETTh2_large.py_ctx512_pred192: MAE=0.376, MSE=0.3618
ETTh2_large.py_ctx512_pred336: MAE=0.4014, MSE=0.3868
ETTh2_large.py_ctx512_pred720: MAE=0.4309, MSE=0.4169
ETTh2_large.py_ctx720_pred96: MAE=0.3292, MSE=0.2921
ETTh2_large.py_ctx720_pred192: MAE=0.3756, MSE=0.3605
ETTh2_large.py_ctx720_pred336: MAE=0.3972, MSE=0.38
ETTh2_large.py_ctx720_pred720: MAE=0.4212, MSE=0.4006
ETTh2_large.py_ctx1024_pred96: MAE=0.325, MSE=0.2883
ETTh2_large.py_ctx1024_pred192: MAE=0.3704, MSE=0.3531
ETTh2_large.py_ctx1024_pred336: MAE=0.3941, MSE=0.375
ETTh2_large.py_ctx1024_pred720: MAE=0.4148, MSE=0.3922
ETTh2_large.py_ctx2048_pred96: MAE=0.3174, MSE=0.2805
ETTh2_large.py_ctx2048_pred192: MAE=0.358, MSE=0.3405
ETTh2_large.py_ctx2048_pred336: MAE=0.3828, MSE=0.3695
ETTh2_large.py_ctx2048_pred720: MAE=0.4061, MSE=0.3877
