ETTh1_large.py_ctx512_pred96: MAE=0.3791, MSE=0.3523
ETTh1_large.py_ctx512_pred192: MAE=0.4028, MSE=0.3894
ETTh1_large.py_ctx512_pred336: MAE=0.4136, MSE=0.4042
ETTh1_large.py_ctx512_pred720: MAE=0.448, MSE=0.4457
ETTh1_large.py_ctx720_pred96: MAE=0.3811, MSE=0.3462
ETTh1_large.py_ctx720_pred192: MAE=0.4125, MSE=0.3948
ETTh1_large.py_ctx720_pred336: MAE=0.4364, MSE=0.438
ETTh1_large.py_ctx720_pred720: MAE=0.477, MSE=0.4971
ETTh1_large.py_ctx1024_pred96: MAE=0.3844, MSE=0.3514
ETTh1_large.py_ctx1024_pred192: MAE=0.4158, MSE=0.3968
ETTh1_large.py_ctx1024_pred336: MAE=0.4404, MSE=0.431
ETTh1_large.py_ctx1024_pred720: MAE=0.4947, MSE=0.5016
ETTh1_large.py_ctx2048_pred96: MAE=0.3776, MSE=0.3402
ETTh1_large.py_ctx2048_pred192: MAE=0.4056, MSE=0.381
ETTh1_large.py_ctx2048_pred336: MAE=0.4244, MSE=0.4081
ETTh1_large.py_ctx2048_pred720: MAE=0.4628, MSE=0.458
ETTm1_large.py_ctx512_pred96: MAE=0.3358, MSE=0.3088
ETTm1_large.py_ctx512_pred192: MAE=0.3682, MSE=0.3593
ETTm1_large.py_ctx512_pred336: MAE=0.3954, MSE=0.4021
ETTm1_large.py_ctx512_pred720: MAE=0.4519, MSE=0.499
ETTm1_large.py_ctx720_pred96: MAE=0.3446, MSE=0.32
ETTm1_large.py_ctx720_pred192: MAE=0.3805, MSE=0.3751
ETTm1_large.py_ctx720_pred336: MAE=0.4218, MSE=0.4349
ETTm1_large.py_ctx720_pred720: MAE=0.4488, MSE=0.4815
ETTm1_large.py_ctx1024_pred96: MAE=0.3505, MSE=0.3252
ETTm1_large.py_ctx1024_pred192: MAE=0.3779, MSE=0.3658
ETTm1_large.py_ctx1024_pred336: MAE=0.4017, MSE=0.3972
ETTm1_large.py_ctx1024_pred720: MAE=0.4372, MSE=0.4525
ETTm1_large.py_ctx2048_pred96: MAE=0.3442, MSE=0.3014
ETTm1_large.py_ctx2048_pred192: MAE=0.3747, MSE=0.342
ETTm1_large.py_ctx2048_pred336: MAE=0.3976, MSE=0.371
ETTm1_large.py_ctx2048_pred720: MAE=0.4294, MSE=0.4196
ETTh2_large.py_ctx512_pred96: MAE=0.3357, MSE=0.2787
ETTh2_large.py_ctx512_pred192: MAE=0.3778, MSE=0.3378
ETTh2_large.py_ctx512_pred336: MAE=0.3995, MSE=0.3609
ETTh2_large.py_ctx512_pred720: MAE=0.4462, MSE=0.4252
ETTh2_large.py_ctx720_pred96: MAE=0.3457, MSE=0.2919
ETTh2_large.py_ctx720_pred192: MAE=0.3957, MSE=0.3625
ETTh2_large.py_ctx720_pred336: MAE=0.4227, MSE=0.3903
ETTh2_large.py_ctx720_pred720: MAE=0.4597, MSE=0.4273
ETTh2_large.py_ctx1024_pred96: MAE=0.3464, MSE=0.2923
ETTh2_large.py_ctx1024_pred192: MAE=0.3901, MSE=0.3471
ETTh2_large.py_ctx1024_pred336: MAE=0.4157, MSE=0.3711
ETTh2_large.py_ctx1024_pred720: MAE=0.451, MSE=0.4106
ETTh2_large.py_ctx2048_pred96: MAE=0.3343, MSE=0.2728
ETTh2_large.py_ctx2048_pred192: MAE=0.3847, MSE=0.3378
ETTh2_large.py_ctx2048_pred336: MAE=0.4178, MSE=0.3762
ETTh2_large.py_ctx2048_pred720: MAE=0.466, MSE=0.4301
ETTm2_large.py_ctx512_pred96: MAE=0.2604, MSE=0.1851
ETTm2_large.py_ctx512_pred192: MAE=0.3099, MSE=0.2564
ETTm2_large.py_ctx512_pred336: MAE=0.3504, MSE=0.3181
ETTm2_large.py_ctx512_pred720: MAE=0.4262, MSE=0.4533
ETTm2_large.py_ctx720_pred96: MAE=0.272, MSE=0.2057
ETTm2_large.py_ctx720_pred192: MAE=0.3299, MSE=0.2921
ETTm2_large.py_ctx720_pred336: MAE=0.3923, MSE=0.3991
ETTm2_large.py_ctx720_pred720: MAE=0.4371, MSE=0.4558
ETTm2_large.py_ctx1024_pred96: MAE=0.275, MSE=0.1974
ETTm2_large.py_ctx1024_pred192: MAE=0.3214, MSE=0.262
ETTm2_large.py_ctx1024_pred336: MAE=0.3574, MSE=0.3131
ETTm2_large.py_ctx1024_pred720: MAE=0.4081, MSE=0.3917
ETTm2_large.py_ctx2048_pred96: MAE=0.2606, MSE=0.1734
ETTm2_large.py_ctx2048_pred192: MAE=0.3052, MSE=0.2306
ETTm2_large.py_ctx2048_pred336: MAE=0.3425, MSE=0.2827
ETTm2_large.py_ctx2048_pred720: MAE=0.3966, MSE=0.3632
Weather_large.py_ctx512_pred96: MAE=0.2204, MSE=0.1699
Weather_large.py_ctx512_pred192: MAE=0.2751, MSE=0.234
Weather_large.py_ctx512_pred336: MAE=0.3207, MSE=0.2996
Weather_large.py_ctx512_pred720: MAE=0.3809, MSE=0.3874
Weather_large.py_ctx720_pred96: MAE=0.224, MSE=0.1771
Weather_large.py_ctx720_pred192: MAE=0.2869, MSE=0.2559
Weather_large.py_ctx720_pred336: MAE=0.3456, MSE=0.3524
Weather_large.py_ctx720_pred720: MAE=0.3843, MSE=0.3938
Weather_large.py_ctx1024_pred96: MAE=0.2183, MSE=0.1705
Weather_large.py_ctx1024_pred192: MAE=0.2696, MSE=0.2269
Weather_large.py_ctx1024_pred336: MAE=0.312, MSE=0.2839
Weather_large.py_ctx1024_pred720: MAE=0.3669, MSE=0.3608
Weather_large.py_ctx2048_pred96: MAE=0.2151, MSE=0.1675
Weather_large.py_ctx2048_pred192: MAE=0.2682, MSE=0.2266
Weather_large.py_ctx2048_pred336: MAE=0.3091, MSE=0.281
Weather_large.py_ctx2048_pred720: MAE=0.3572, MSE=0.35
ETTh1_base.py_ctx512_pred96: MAE=0.3769, MSE=0.3528
ETTh1_base.py_ctx512_pred192: MAE=0.4019, MSE=0.3896
ETTh1_base.py_ctx512_pred336: MAE=0.4147, MSE=0.4124
ETTh1_base.py_ctx512_pred720: MAE=0.4402, MSE=0.4382
ETTh1_base.py_ctx720_pred96: MAE=0.3744, MSE=0.3478
ETTh1_base.py_ctx720_pred192: MAE=0.401, MSE=0.3874
ETTh1_base.py_ctx720_pred336: MAE=0.4158, MSE=0.4141
ETTh1_base.py_ctx720_pred720: MAE=0.444, MSE=0.4412
ETTh1_base.py_ctx1024_pred96: MAE=0.3753, MSE=0.3486
ETTh1_base.py_ctx1024_pred192: MAE=0.4026, MSE=0.3873
ETTh1_base.py_ctx1024_pred336: MAE=0.4189, MSE=0.4135
ETTh1_base.py_ctx1024_pred720: MAE=0.4506, MSE=0.4471
ETTh1_base.py_ctx2048_pred96: MAE=0.3753, MSE=0.3449
ETTh1_base.py_ctx2048_pred192: MAE=0.4025, MSE=0.3834
ETTh1_base.py_ctx2048_pred336: MAE=0.4194, MSE=0.4089
ETTh1_base.py_ctx2048_pred720: MAE=0.4559, MSE=0.4523
ETTh2_base.py_ctx512_pred96: MAE=0.3328, MSE=0.2852
ETTh2_base.py_ctx512_pred192: MAE=0.3781, MSE=0.3483
ETTh2_base.py_ctx512_pred336: MAE=0.4025, MSE=0.373
ETTh2_base.py_ctx512_pred720: MAE=0.4324, MSE=0.4006
ETTh2_base.py_ctx720_pred96: MAE=0.3295, MSE=0.2791
ETTh2_base.py_ctx720_pred192: MAE=0.3764, MSE=0.3453
ETTh2_base.py_ctx720_pred336: MAE=0.4019, MSE=0.3724
ETTh2_base.py_ctx720_pred720: MAE=0.4313, MSE=0.3964
ETTh2_base.py_ctx1024_pred96: MAE=0.3269, MSE=0.2762
ETTh2_base.py_ctx1024_pred192: MAE=0.3733, MSE=0.341
ETTh2_base.py_ctx1024_pred336: MAE=0.4013, MSE=0.3723
ETTh2_base.py_ctx1024_pred720: MAE=0.4327, MSE=0.3984
ETTh2_base.py_ctx2048_pred96: MAE=0.3243, MSE=0.2665
ETTh2_base.py_ctx2048_pred192: MAE=0.3727, MSE=0.3329
ETTh2_base.py_ctx2048_pred336: MAE=0.4058, MSE=0.3728
ETTh2_base.py_ctx2048_pred720: MAE=0.4524, MSE=0.4192
ETTm1_base.py_ctx512_pred96: MAE=0.3508, MSE=0.334
ETTm1_base.py_ctx512_pred192: MAE=0.3869, MSE=0.3887
ETTm1_base.py_ctx512_pred336: MAE=0.4162, MSE=0.4309
ETTm1_base.py_ctx512_pred720: MAE=0.4754, MSE=0.5265
ETTm1_base.py_ctx720_pred96: MAE=0.3456, MSE=0.3211
ETTm1_base.py_ctx720_pred192: MAE=0.3809, MSE=0.3748
ETTm1_base.py_ctx720_pred336: MAE=0.411, MSE=0.4168
ETTm1_base.py_ctx720_pred720: MAE=0.4707, MSE=0.511
ETTm1_base.py_ctx1024_pred96: MAE=0.3521, MSE=0.3269
ETTm1_base.py_ctx1024_pred192: MAE=0.3916, MSE=0.3859
ETTm1_base.py_ctx1024_pred336: MAE=0.4234, MSE=0.4318
ETTm1_base.py_ctx1024_pred720: MAE=0.4704, MSE=0.5023
ETTm1_base.py_ctx2048_pred96: MAE=0.3455, MSE=0.3035
ETTm1_base.py_ctx2048_pred192: MAE=0.3844, MSE=0.3596
ETTm1_base.py_ctx2048_pred336: MAE=0.4129, MSE=0.4001
ETTm1_base.py_ctx2048_pred720: MAE=0.4514, MSE=0.4573
ETTm2_base.py_ctx512_pred96: MAE=0.261, MSE=0.1816
ETTm2_base.py_ctx512_pred192: MAE=0.3076, MSE=0.2476
ETTm2_base.py_ctx512_pred336: MAE=0.344, MSE=0.3032
ETTm2_base.py_ctx512_pred720: MAE=0.4052, MSE=0.4064
ETTm2_base.py_ctx720_pred96: MAE=0.2586, MSE=0.18
ETTm2_base.py_ctx720_pred192: MAE=0.3057, MSE=0.2465
ETTm2_base.py_ctx720_pred336: MAE=0.3431, MSE=0.3029
ETTm2_base.py_ctx720_pred720: MAE=0.4069, MSE=0.4061
ETTm2_base.py_ctx1024_pred96: MAE=0.264, MSE=0.1825
ETTm2_base.py_ctx1024_pred192: MAE=0.3137, MSE=0.2507
ETTm2_base.py_ctx1024_pred336: MAE=0.3532, MSE=0.3101
ETTm2_base.py_ctx1024_pred720: MAE=0.4117, MSE=0.4085
ETTm2_base.py_ctx2048_pred720: MAE=0.3969, MSE=0.3763
ETTm2_base.py_ctx2048_pred336: MAE=0.3441, MSE=0.2938
ETTm2_base.py_ctx2048_pred192: MAE=0.3049, MSE=0.2367
ETTm2_base.py_ctx2048_pred96: MAE=0.2555, MSE=0.1712
Weather_base.py_ctx512_pred96: MAE=0.213, MSE=0.1639
Weather_base.py_ctx512_pred192: MAE=0.263, MSE=0.2153
Weather_base.py_ctx512_pred336: MAE=0.307, MSE=0.2734
Weather_base.py_ctx512_pred720: MAE=0.3638, MSE=0.3569
Weather_base.py_ctx720_pred96: MAE=0.2078, MSE=0.1605
Weather_base.py_ctx720_pred192: MAE=0.257, MSE=0.212
Weather_base.py_ctx720_pred336: MAE=0.3001, MSE=0.27
Weather_base.py_ctx720_pred720: MAE=0.3539, MSE=0.3503
Weather_base.py_ctx1024_pred96: MAE=0.2073, MSE=0.1672
Weather_base.py_ctx1024_pred192: MAE=0.2572, MSE=0.2196
Weather_base.py_ctx1024_pred336: MAE=0.2979, MSE=0.2719
Weather_base.py_ctx1024_pred720: MAE=0.3485, MSE=0.3456
Weather_base.py_ctx2048_pred96: MAE=0.2014, MSE=0.1574
Weather_base.py_ctx2048_pred192: MAE=0.2559, MSE=0.2194 
Weather_base.py_ctx2048_pred336: MAE=0.2978, MSE=0.2735
Weather_base.py_ctx2048_pred720: MAE=0.3393, MSE=0.3284
